Peak,Basepairs,Name
Upper_marker,1500,D1000
2,1000,D1000
3,700,D1000
4,500,D1000
5,400,D1000
6,300,D1000
7,200,D1000
8,100,D1000
9,50,D1000
Lower_marker,25,D1000
