Peak,Basepairs,Name
Upper_marker,1500,D1000B
2,1000,D1000B
3,850,D1000B
4,700,D1000B
5,500,D1000B
6,400,D1000B
7,300,D1000B
8,200,D1000B
9,150,D1000B
10,100,D1000B
11,50,D1000B
12,25,D1000B
Lower_marker,15,D1000B
