Peak,Basepairs,Name
Upper_marker,48500,gDNA
2,15000,gDNA
3,7000,gDNA
4,4000,gDNA
5,3000,gDNA
6,2500,gDNA
7,2000,gDNA
8,1500,gDNA
9,1200,gDNA
10,900,gDNA
11,600,gDNA
12,400,gDNA
13,250,gDNA
Lower_marker,100,gDNA
