Peak,Basepairs,Name
Upper_marker,10380,D7500
2,7000,D7500
3,5000,D7500
4,3000,D7500
5,2000,D7500
6,1500,D7500
7,1000,D7500
8,700,D7500
9,500,D7500
10,300,D7500
11,100,D7500
Lower_marker,50,D7500
