Peak,Basepairs,Name
Upper_marker,10380,HSDNAB
2,7000,HSDNAB
3,3000,HSDNAB
4,2000,HSDNAB
5,1000,HSDNAB
6,700,HSDNAB
7,600,HSDNAB
8,500,HSDNAB
9,400,HSDNAB
10,300,HSDNAB
11,200,HSDNAB
12,150,HSDNAB
13,100,HSDNAB
14,50,HSDNAB
Lower_marker,35,HSDNAB
