Peak,Basepairs,Name
Upper_marker,10000,TEST
1,5000,TEST
2,3500,TEST
3,2500,TEST
4,1500,TEST
5,1000,TEST
6,600,TEST
7,400,TEST
8,250,TEST
9,100,TEST
Lower_marker,15,TEST
