,bp_pos,sample,normalized_fluorescent_units,EXPERIMENT
0,15.858585858585858,Sample_1,1.0,Control
1,16.717171717171716,Sample_1,0.9656271530052888,Control
2,17.575757575757574,Sample_1,0.9207883613450182,Control
3,18.434343434343432,Sample_1,0.8665181912366535,Control
4,19.29292929292929,Sample_1,0.8056538828819843,Control
5,20.151515151515152,Sample_1,0.741028670323476,Control
6,21.01010101010101,Sample_1,0.675601053365853,Control
7,21.86868686868687,Sample_1,0.609990618747399,Control
8,22.727272727272727,Sample_1,0.5459516734069483,Control
9,23.585858585858585,Sample_1,0.4850194557661872,Control
10,24.444444444444443,Sample_1,0.42739788910579696,Control
11,25.303030303030305,Sample_1,0.37407053439527177,Control
12,26.16161616161616,Sample_1,0.3264281151870471,Control
13,27.02020202020202,Sample_1,0.2840377708517906,Control
14,27.87878787878788,Sample_1,0.2472806727924426,Control
15,28.737373737373737,Sample_1,0.2148544283840883,Control
16,29.595959595959595,Sample_1,0.1861237193847595,Control
17,30.454545454545453,Sample_1,0.16149776031266022,Control
18,31.31313131313131,Sample_1,0.14101837156267868,Control
19,32.17171717171717,Sample_1,0.12402619793690611,Control
20,33.03030303030303,Sample_1,0.1094150509060711,Control
21,33.888888888888886,Sample_1,0.09712425181310468,Control
22,34.74747474747475,Sample_1,0.08748875466192366,Control
23,35.60606060606061,Sample_1,0.07963863661213372,Control
24,36.464646464646464,Sample_1,0.07298020439424867,Control
25,37.32323232323232,Sample_1,0.06730474687864006,Control
26,38.18181818181818,Sample_1,0.0623070728938277,Control
27,39.04040404040404,Sample_1,0.05752130519498221,Control
28,39.898989898989896,Sample_1,0.05348036068331789,Control
29,40.75757575757576,Sample_1,0.050111415199231686,Control
30,41.61616161616162,Sample_1,0.04730482700182652,Control
31,42.474747474747474,Sample_1,0.04415478392584266,Control
32,43.33333333333333,Sample_1,0.041052433688047806,Control
33,44.19191919191919,Sample_1,0.03862639154188376,Control
34,45.05050505050505,Sample_1,0.0368271667630262,Control
35,45.90909090909091,Sample_1,0.03448469700879626,Control
36,46.76767676767677,Sample_1,0.031843328684559996,Control
37,47.62626262626262,Sample_1,0.02890044313007677,Control
38,48.48484848484848,Sample_1,0.0262160818765163,Control
39,49.34343434343434,Sample_1,0.024085342528087823,Control
40,50.2020202020202,Sample_1,0.02214808113273862,Control
41,51.06060606060606,Sample_1,0.019979654573309344,Control
42,51.91919191919192,Sample_1,0.01786617102333236,Control
43,52.77777777777778,Sample_1,0.015796452321183374,Control
44,53.63636363636363,Sample_1,0.013903395474075705,Control
45,54.494949494949495,Sample_1,0.012706374610486505,Control
46,55.35353535353535,Sample_1,0.011591294361741142,Control
47,56.21212121212121,Sample_1,0.010100895611115665,Control
48,57.07070707070707,Sample_1,0.00831704080449151,Control
49,57.92929292929293,Sample_1,0.006776701858007839,Control
50,58.78787878787879,Sample_1,0.0057329801008203715,Control
51,59.64646464646464,Sample_1,0.005506798208093791,Control
52,60.505050505050505,Sample_1,0.004409540482777375,Control
53,61.36363636363636,Sample_1,0.0033396516654239468,Control
54,62.22222222222222,Sample_1,0.0024431806911719223,Control
55,63.08080808080808,Sample_1,0.0015616790732209682,Control
56,63.93939393939394,Sample_1,0.0007482039948052795,Control
57,64.79797979797979,Sample_1,0.0005181429673192156,Control
58,65.65656565656565,Sample_1,0.00016807304029678433,Control
59,66.51515151515152,Sample_1,0.0,Control
60,67.37373737373737,Sample_1,5.048737859505306e-05,Control
61,68.23232323232324,Sample_1,0.00039028785818118064,Control
62,69.0909090909091,Sample_1,0.0010334816231120617,Control
63,69.94949494949495,Sample_1,0.001731745422059142,Control
64,70.8080808080808,Sample_1,0.0019421664977402801,Control
65,71.66666666666666,Sample_1,0.002842995391646534,Control
66,72.52525252525253,Sample_1,0.0033933537425980083,Control
67,73.38383838383838,Sample_1,0.0036667496886188234,Control
68,74.24242424242425,Sample_1,0.004133946034688848,Control
69,75.1010101010101,Sample_1,0.00481588229161303,Control
70,75.95959595959596,Sample_1,0.005624950594772977,Control
71,76.81818181818181,Sample_1,0.006771181175037794,Control
72,77.67676767676767,Sample_1,0.008409407204696467,Control
73,78.53535353535354,Sample_1,0.00990689001754014,Control
74,79.39393939393939,Sample_1,0.011706955112743585,Control
75,80.25252525252525,Sample_1,0.013746862126854355,Control
76,81.11111111111111,Sample_1,0.015907247054275934,Control
77,81.96969696969697,Sample_1,0.017851690223046338,Control
78,82.82828282828282,Sample_1,0.019316723145370526,Control
79,83.68686868686868,Sample_1,0.021069652356242148,Control
80,84.54545454545455,Sample_1,0.022917537314198485,Control
81,85.4040404040404,Sample_1,0.025070691612597357,Control
82,86.26262626262626,Sample_1,0.02810197649244336,Control
83,87.12121212121212,Sample_1,0.031518214198786206,Control
84,87.97979797979798,Sample_1,0.03502491293687534,Control
85,88.83838383838383,Sample_1,0.03878369680760889,Control
86,89.69696969696969,Sample_1,0.0429774616407802,Control
87,90.55555555555556,Sample_1,0.048085940129805424,Control
88,91.4141414141414,Sample_1,0.05278429538643853,Control
89,92.27272727272728,Sample_1,0.057730416940543025,Control
90,93.13131313131314,Sample_1,0.06352454471220681,Control
91,93.989898989899,Sample_1,0.06993395992922193,Control
92,94.84848484848484,Sample_1,0.07647552954830748,Control
93,95.7070707070707,Sample_1,0.08332146956476792,Control
94,96.56565656565655,Sample_1,0.09190588730517488,Control
95,97.42424242424242,Sample_1,0.10116353523431781,Control
96,98.28282828282828,Sample_1,0.11114864306986715,Control
97,99.14141414141416,Sample_1,0.12203474590836781,Control
98,100.0,Sample_1,0.13312125442424116,Control
99,103.06122448979592,Sample_1,0.1442477268221454,Control
100,106.12244897959184,Sample_1,0.15600365478983738,Control
101,109.18367346938776,Sample_1,0.16735320186421251,Control
102,112.24489795918367,Sample_1,0.17963071223356966,Control
103,115.3061224489796,Sample_1,0.19235036579654516,Control
104,118.36734693877553,Sample_1,0.20447720549086154,Control
105,121.42857142857144,Sample_1,0.21660248180592973,Control
106,124.48979591836736,Sample_1,0.22908762848168224,Control
107,127.55102040816328,Sample_1,0.24155137640397564,Control
108,130.6122448979592,Sample_1,0.25356369856836475,Control
