,Ladder,1,2,3,4,5,6,7,8
0,0.0,0.0080727718418247,0.0115355961214087,0.0117647058823526,0.0080732966678034,0.0080727718418247,0.011782610557822,0.0119948652952546,0.0090216794718507
1,0.375,0.0090222042978295,0.0106045931668521,0.0117652307083316,0.0090395841473198,0.0090227291238083,0.0119948652952546,0.0129616776007496,0.0105861636654041
2,0.75,0.0106045931668521,0.0092697435602215,0.0117831353838009,0.0108157982523269,0.0106224978423212,0.0129616776007496,0.014756321207205,0.0115355961214087
3,1.125,0.0117831353838009,0.0094988533211657,0.0120122451447448,0.0127141383383575,0.0120127699707238,0.0147557963812261,0.0169016757296489,0.0117652307083316
4,1.5,0.0131734075122036,0.0120127699707238,0.0131728826862247,0.014507732292855,0.0143519497291522,0.0168832462282009,0.0200855418125487,0.0120117203187659
5,1.875,0.015933813772196,0.0154761190762868,0.0156867993357827,0.015686274509804,0.0186768401826979,0.0198380025501566,0.0249560180700255,0.0131728826862247
6,2.25,0.0196267974646817,0.0184466807697963,0.01821862066081,0.0168653415527315,0.0233187315052099,0.0235488909181114,0.0313920281730135,0.0156878489877405
7,2.625,0.0235494157440903,0.0209817850681247,0.0196267974646817,0.0186778898346557,0.0274525548700934,0.027506268896501,0.0380755775383935,0.0182549548377273
8,3.0,0.0277359034834239,0.0245330830730969,0.0212646088554764,0.0208416738585479,0.0316390426094268,0.0320988366092516,0.0446196745376036,0.0201044961399755
9,3.375,0.0332963331536273,0.028581639459853,0.0252230364858234,0.0242551745283707,0.0369872175421976,0.0393443019760954,0.0533813501401974,0.0238687077257873
10,3.75,0.0423548716283741,0.0336486185475527,0.031923965700694,0.0303052426547543,0.0450610390359802,0.0505470918569845,0.0673098400464422,0.0320993614352302
11,4.125,0.0559500304681206,0.0434291925397687,0.0411584247359562,0.0395206133451614,0.0566324445083274,0.0640157877634048,0.0873046748122593,0.0430008174742357
12,4.5,0.073994963889759,0.0580948601645858,0.0541190526847483,0.0503711712964694,0.0713708610400634,0.0791613339205157,0.1115544092720262,0.0542574553989607
13,4.875,0.0977729645688147,0.0778822976442081,0.0716010204529652,0.0633345573925837,0.0894315998332553,0.0970814366781516,0.1392360739030635,0.0672556011940557
14,5.25,0.1282508448107833,0.1030641425018767,0.0931614425286373,0.0817822878143379,0.1122243587053679,0.1194029865955323,0.1711189819930305,0.085721761117258
15,5.625,0.1661516854580473,0.1333335758056928,0.1191754513125249,0.1053126152135737,0.1404325207954816,0.1486139043595074,0.209177313699362,0.1094632936019686
16,6.0,0.2137050626862646,0.1714619517359642,0.1514106447964172,0.1314650801760173,0.1736539522739313,0.1872661001546171,0.2555830428189434,0.1365462366929901
17,6.375,0.2727577018589735,0.220349653744833,0.1930566892377223,0.1626140935207133,0.2120103883131889,0.2336186400737696,0.3085122866680273,0.1690127197948262
18,6.75,0.3440288760192769,0.2798571716747413,0.2452818022448064,0.2039940886450941,0.2590883001874556,0.2852835455747549,0.3648355477064846,0.2099503007688725
19,7.125,0.4262516270162251,0.3487533567256777,0.3060194236498117,0.2565183021727186,0.3176078181630983,0.341044423577157,0.4251503681319892,0.2589595504684421
20,7.5,0.5154196397431752,0.4243467972096324,0.3717850658357049,0.3161833111616939,0.3834764445208163,0.4005889345273893,0.4873965798471404,0.3129625860758978
21,7.875,0.607346484252181,0.503618074857926,0.4422995831240301,0.3817024637371529,0.4507707615493244,0.4655983106498553,0.5470989726649909,0.3717487316587876
22,8.25,0.6973565591737082,0.5852241996393892,0.5167155310429938,0.4518982716611477,0.5175933447971217,0.5337366551594281,0.6034054364713242,0.4348766227187344
23,8.625,0.7807904549912829,0.666233648720408,0.5914305751554542,0.5225349149304965,0.5838334026850077,0.6002057650168705,0.6575517900356177,0.5003957752941933
24,9.0,0.8537466113838826,0.7416679658759713,0.6634916719618635,0.5932274520832528,0.6483010008028228,0.6637392112242557,0.7099881081281767,0.5671271266692799
25,9.375,0.9107543095404218,0.8077148039069357,0.7306263986273889,0.6633494614483711,0.7097216145383576,0.7232783398972712,0.7591722287363039,0.6314470742049983
26,9.75,0.9494950128134584,0.8619593714086988,0.7909254136813397,0.7287127779957835,0.7667265348357695,0.7778409044556143,0.8021438281158096,0.6887908081110145
27,10.125,0.974120965812602,0.9049056381454424,0.8421888534012181,0.7873445638080656,0.8160018278955804,0.825427354019505,0.837883587792521,0.7370181816955632
28,10.5,0.9864315848201572,0.9340295326631396,0.8820471368709788,0.837772769599625,0.853443934213579,0.8601438137764916,0.863050740413539,0.7764120719011147
29,10.875,0.9711425238864584,0.9340408277859308,0.9058823094978976,0.8720240554463721,0.8653597134111366,0.8690902149499254,0.8661609026759586,0.8051580018677732
30,11.25,0.898288527642822,0.8762892569385018,0.895769774014556,0.8709519566482153,0.8261384580423075,0.8291284988892229,0.8241570037464088,0.8092899014408134
31,11.625,0.7782302793344148,0.7684498657991115,0.8265880327754482,0.8115612562483118,0.7422052686774729,0.7447549946779695,0.7410823904253737,0.7688107638908719
32,12.0,0.6840461615791966,0.6811770353368373,0.7265735959617501,0.7203018712992174,0.6729146326139,0.6740777449198005,0.6726799023563386,0.7018213386712926
33,12.375,0.6498045873268824,0.649274995497763,0.6631465573163653,0.6615545157391138,0.647600100496975,0.6478790276311195,0.6474622275051758,0.6571791855947626
34,12.75,0.6599746419893058,0.6589315186106636,0.6473176152115978,0.6470750457776612,0.6556021281283307,0.6562844875827074,0.6545460479203606,0.6453063213109127
35,13.125,0.7263541028889262,0.7203997629447494,0.6665144548959141,0.666210703319403,0.7054168742858136,0.7091438103029161,0.7006887624726614,0.6570132305524085
36,13.5,0.8479518723897401,0.8298825445720708,0.7360622049271514,0.7346306079876822,0.7933169778909275,0.8035121282072327,0.7817858683256097,0.7000636390711711
37,13.875,0.9496965976580828,0.9145399670907064,0.8349474666123732,0.8319703930858606,0.8586764320589748,0.8756755611522747,0.8406057174551325,0.7585035402786946
38,14.25,0.9861584825619444,0.9335941270581224,0.888326671508214,0.8852962061367162,0.8669132823927921,0.8897300002582746,0.8450101914073238,0.7822829952034414
