,Ladder,1,2,3,4,5,6,7,8,Ladder_interpol
0,0.003710888367955,0.0080727718418247,0.0115355961214087,0.0117647058823526,0.0080732966678034,0.0080727718418247,0.011782610557822,0.0119948652952546,0.0090216794718507,0.0
1,0.0030084703483632,0.0090222042978295,0.0106045931668521,0.0117652307083316,0.0090395841473198,0.0090227291238083,0.0119948652952546,0.0129616776007496,0.0105861636654041,0.375
2,0.0028163536077434,0.0106045931668521,0.0092697435602215,0.0117831353838009,0.0108157982523269,0.0106224978423212,0.0129616776007496,0.014756321207205,0.0115355961214087,0.75
3,0.0053297454313225,0.0117831353838009,0.0094988533211657,0.0120122451447448,0.0127141383383575,0.0120127699707238,0.0147557963812261,0.0169016757296489,0.0117652307083316,1.125
4,0.0091964163629802,0.0131734075122036,0.0120127699707238,0.0131728826862247,0.014507732292855,0.0143519497291522,0.0168832462282009,0.0200855418125487,0.0120117203187659,1.5
5,0.0113064863604646,0.015933813772196,0.0154761190762868,0.0156867993357827,0.015686274509804,0.0186768401826979,0.0198380025501566,0.0249560180700255,0.0131728826862247,1.875
6,0.0119774854457643,0.0196267974646817,0.0184466807697963,0.01821862066081,0.0168653415527315,0.0233187315052099,0.0235488909181114,0.0313920281730135,0.0156878489877405,2.25
7,0.013227121538611,0.0235494157440903,0.0209817850681247,0.0196267974646817,0.0186778898346557,0.0274525548700934,0.027506268896501,0.0380755775383935,0.0182549548377273,2.625
8,0.0164315164268749,0.0277359034834239,0.0245330830730969,0.0212646088554764,0.0208416738585479,0.0316390426094268,0.0320988366092516,0.0446196745376036,0.0201044961399755,3.0
9,0.0225163442522386,0.0332963331536273,0.028581639459853,0.0252230364858234,0.0242551745283707,0.0369872175421976,0.0393443019760954,0.0533813501401974,0.0238687077257873,3.375
10,0.0323658550250495,0.0423548716283741,0.0336486185475527,0.031923965700694,0.0303052426547543,0.0450610390359802,0.0505470918569845,0.0673098400464422,0.0320993614352302,3.75
11,0.0460483801468389,0.0559500304681206,0.0434291925397687,0.0411584247359562,0.0395206133451614,0.0566324445083274,0.0640157877634048,0.0873046748122593,0.0430008174742357,4.125
12,0.0635830122895056,0.073994963889759,0.0580948601645858,0.0541190526847483,0.0503711712964694,0.0713708610400634,0.0791613339205157,0.1115544092720262,0.0542574553989607,4.5
13,0.0850756812539685,0.0977729645688147,0.0778822976442081,0.0716010204529652,0.0633345573925837,0.0894315998332553,0.0970814366781516,0.1392360739030635,0.0672556011940557,4.875
